  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0148E+00      1.0081E+00      1.0004E+00      1.0154E+00      1.0000E+00      8.8333E+01      9.0866E+01      1.0000E+00
      1.0229E+00      1.0320E+00      1.0019E+00      1.0560E+00      1.0024E+00      8.8268E+01      9.2429E+01      1.0000E+00
      1.1525E+00      1.1555E+00      1.0355E+00      1.2326E+00      1.0434E+00      7.8187E+01      1.0050E+02      1.0000E+00
      1.1408E+00      1.1605E+00      1.0353E+00      1.2635E+00      1.0495E+00      8.2937E+01      9.8725E+01      1.0000E+00
      1.1420E+00      1.1601E+00      1.0344E+00      1.2632E+00      1.0515E+00      8.3338E+01      9.8238E+01      1.0000E+00
      1.1541E+00      1.1555E+00      1.0364E+00      1.2331E+00      1.0451E+00      7.7877E+01      1.0076E+02      1.0000E+00
      1.0248E+00      1.0329E+00      1.0023E+00      1.0589E+00      1.0044E+00      8.7998E+01      9.2765E+01      1.0000E+00
      1.0169E+00      1.0105E+00      1.0006E+00      1.0188E+00      1.0072E+00      8.8130E+01      9.1430E+01      1.0000E+00
      1.0091E+00      1.0036E+00      1.0002E+00      1.0081E+00      1.0029E+00      8.8968E+01      9.0785E+01      1.0000E+00
      1.0040E+00      1.0023E+00      1.0000E+00      1.0043E+00      1.0008E+00      8.9556E+01      9.0323E+01      1.0000E+00
      1.0010E+00      1.0006E+00      1.0000E+00      1.0012E+00      1.0001E+00      8.9886E+01      9.0078E+01      1.0000E+00
      1.0002E+00      1.0001E+00      1.0000E+00      1.0002E+00      1.0000E+00      8.9981E+01      9.0012E+01      1.0000E+00
      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      1.0000E+00      8.9999E+01      9.0001E+01      1.0000E+00
      1.0001E+00      1.0000E+00      1.0000E+00      1.0001E+00      1.0000E+00      8.9992E+01      9.0004E+01      1.0000E+00
      1.0002E+00      1.0001E+00      1.0000E+00      1.0002E+00      1.0001E+00      8.9979E+01      9.0013E+01      1.0000E+00
      1.0005E+00      1.0003E+00      1.0000E+00      1.0006E+00      1.0002E+00      8.9952E+01      9.0033E+01      1.0000E+00
      1.0012E+00      1.0008E+00      1.0000E+00      1.0014E+00      1.0006E+00      8.9904E+01      9.0075E+01      1.0000E+00
      1.0022E+00      1.0017E+00      1.0000E+00      1.0028E+00      1.0014E+00      8.9859E+01      9.0125E+01      1.0000E+00
      1.0033E+00      1.0025E+00      1.0000E+00      1.0044E+00      1.0025E+00      8.9874E+01      9.0140E+01      1.0000E+00
      1.0040E+00      1.0027E+00      1.0000E+00      1.0055E+00      1.0032E+00      8.9951E+01      9.0081E+01      1.0000E+00
