  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      3.6975E-02      1.0719E+00      1.0096E+00      1.1393E+00      3.5183E-02      8.7326E+01      9.5002E+01      1.0000E+00
      5.0543E-02      1.2793E+00      1.1059E+00      1.4296E+00      4.0552E-02      6.6961E+01      1.0793E+02      1.0000E+00
      5.3918E-02      1.2299E+00      1.0723E+00      1.3344E+00      4.3388E-02      7.4074E+01      1.1069E+02      1.0000E+00
      1.2937E-02      1.3230E+00      1.2033E+00      1.7568E+00      7.5666E-03      7.3077E+01      1.2126E+02      1.0000E+00
      1.7214E-02      1.0770E+00      1.0197E+00      1.2149E+00      1.4998E-02      8.3099E+01      9.7550E+01      1.0000E+00
      1.8005E-02      1.0518E+00      1.0120E+00      1.1493E+00      1.6688E-02      8.4297E+01      9.3831E+01      1.0000E+00
      1.5904E-02      1.0823E+00      1.0114E+00      1.1250E+00      1.5039E-02      8.4605E+01      9.6563E+01      1.0000E+00
      1.4617E-02      1.0384E+00      1.0133E+00      1.1013E+00      1.3576E-02      8.3843E+01      9.8655E+01      1.0000E+00
      1.5179E-02      1.1762E+00      1.0652E+00      1.3074E+00      1.3115E-02      7.1821E+01      1.0844E+02      1.0000E+00
      8.0899E-03      1.4536E+00      1.1895E+00      1.8451E+00      4.9555E-03      6.8101E+01      1.2083E+02      1.0000E+00
      2.1414E-02      1.3381E+00      1.2659E+00      1.3206E+00      1.5925E-02      6.0432E+01      1.2781E+02      1.0000E+00
      2.9154E-02      1.2007E+00      1.0598E+00      1.4607E+00      2.2203E-02      7.3211E+01      1.0047E+02      1.0000E+00
      2.6790E-02      1.1814E+00      1.0645E+00      1.3885E+00      2.2387E-02      7.3555E+01      1.0622E+02      1.0000E+00
      3.8588E-02      1.0863E+00      1.0199E+00      1.1993E+00      3.4657E-02      8.0230E+01      9.8348E+01      1.0000E+00
      1.4602E-02      1.4658E+00      1.2765E+00      1.7927E+00      8.9524E-03      6.2324E+01      1.2669E+02      1.0000E+00
      1.0554E-02      1.1162E+00      1.0426E+00      1.2512E+00      8.2892E-03      8.1590E+01      1.0628E+02      1.0000E+00
      1.6579E-02      1.5375E+00      1.2942E+00      2.0775E+00      8.5600E-03      6.6815E+01      1.2703E+02      1.0000E+00
      1.2075E-02      1.0388E+00      1.0068E+00      1.0644E+00      1.1693E-02      8.3634E+01      9.6305E+01      1.0000E+00
      9.3067E-03      1.1146E+00      1.0239E+00      1.1801E+00      8.4260E-03      7.8936E+01      9.9607E+01      1.0000E+00
      1.4068E-02      1.2021E+00      1.0608E+00      1.3758E+00      1.1230E-02      7.1478E+01      1.0296E+02      1.0000E+00
      8.9328E-03      1.0889E+00      1.0260E+00      1.1621E+00      7.9306E-03      8.1146E+01      1.0267E+02      1.0000E+00
      2.5882E-02      1.1893E+00      1.0587E+00      1.3477E+00      1.9426E-02      7.1008E+01      9.9888E+01      1.0000E+00
      2.7093E-02      1.1011E+00      1.0177E+00      1.2179E+00      2.3621E-02      7.9720E+01      9.6607E+01      1.0000E+00
      1.6660E-02      1.1579E+00      1.0399E+00      1.3136E+00      1.3268E-02      7.4375E+01      9.7872E+01      1.0000E+00
      2.5060E-02      1.5535E+00      1.4009E+00      2.1897E+00      1.4025E-02      5.8464E+01      1.2809E+02      1.0000E+00
      1.1138E-02      1.1321E+00      1.0424E+00      1.2709E+00      9.6330E-03      7.7059E+01      1.0457E+02      1.0000E+00
      2.0932E-02      1.6478E+00      1.4772E+00      2.3898E+00      1.2318E-02      5.2431E+01      1.2734E+02      1.0000E+00
      2.2639E-02      1.5777E+00      1.5144E+00      2.2582E+00      1.3056E-02      5.3402E+01      1.3002E+02      1.0000E+00
      2.3129E-02      1.5282E+00      1.4334E+00      2.0988E+00      1.4211E-02      5.4668E+01      1.2812E+02      1.0000E+00
      1.2256E-02      1.1096E+00      1.0235E+00      1.2384E+00      1.0118E-02      8.1836E+01      1.0186E+02      1.0000E+00
      1.5714E-02      1.1817E+00      1.0689E+00      1.3445E+00      1.2847E-02      6.9739E+01      1.0535E+02      1.0000E+00
      1.0198E-02      1.0829E+00      1.0318E+00      1.1311E+00      9.1712E-03      8.0773E+01      1.0419E+02      1.0000E+00
      1.3552E-02      1.0535E+00      1.0105E+00      1.1118E+00      1.2777E-02      8.1958E+01      9.5281E+01      1.0000E+00
      1.1553E-02      1.0844E+00      1.0155E+00      1.1230E+00      1.0972E-02      8.2481E+01      9.8540E+01      1.0000E+00
      2.2705E-02      1.4798E+00      1.4391E+00      2.0000E+00      1.4031E-02      5.5343E+01      1.2899E+02      1.0000E+00
      2.3581E-02      1.3135E+00      1.4062E+00      1.8305E+00      1.4373E-02      6.2374E+01      1.2736E+02      1.0000E+00
